TIMESTAMP,GRUP,OBJECTE,MP-ÍTEM1,MP-ÍTEM2,MP-ÍTEM3,MP-ÍTEM4,MP-COMENTARI,TUTORIA1-ÍTEM1,TUTORIA1-ÍTEM2,TUTORIA1-ÍTEM3,TUTORIA1-COMENTARI,TUTORIA2-ÍTEM1,TUTORIA2-ÍTEM2,TUTORIA2-ÍTEM3,TUTORIA2-ÍTEM4,TUTORIA2-COMENTARI,CENTRE-ÍTEM1,CENTRE-ÍTEM2,CENTRE-ÍTEM3,CENTRE-ÍTEM4,CENTRE-ÍTEM5,CENTRE-ÍTEM6,CENTRE-COMENTARI
4/11/2019 11:49:41,SMX1A,MP09 -  Formació i orientació laboral,6,8,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:49:42,SMX2A,MP04 - Sistemes operatius en xarxa,8,9,8,8,,,,,,,,,,,,,,,,,
4/11/2019 11:49:43,SMX2A,MP01 - Muntatge i manteniment d'equips,10,10,9,9,,,,,,,,,,,,,,,,,
4/11/2019 11:49:45,SMX1A,MP02 - Sistemes operatius monolloc,6,6,5,7,,,,,,,,,,,,,,,,,
4/11/2019 11:49:50,SMX2A,MP04 - Sistemes operatius en xarxa,7,7,8,6,,,,,,,,,,,,,,,,,
4/11/2019 11:49:51,SMX2A,MP04 - Sistemes operatius en xarxa,9,10,8,9,,,,,,,,,,,,,,,,,
4/11/2019 11:49:59,SMX1A,MP01 - Muntatge i manteniment d'equips,10,7,10,9,,,,,,,,,,,,,,,,,
4/11/2019 11:50:03,SMX1A,MP03 - Aplicacions ofimàtiques,7,7,7,7,,,,,,,,,,,,,,,,,
4/11/2019 11:50:04,SMX1A,MP05 - Xarxes locals,7,9,9,9,,,,,,,,,,,,,,,,,
4/11/2019 11:50:05,SMX2A,MP10 - Empresa i iniciativa emprenedora,6,4,5,3,,,,,,,,,,,,,,,,,
4/11/2019 11:50:07,SMX1A,MP01 - Muntatge i manteniment d'equips,8,9,9,7,,,,,,,,,,,,,,,,,
4/11/2019 11:50:12,SMX1A,MP02 - Sistemes operatius monolloc,7,7,6,6,,,,,,,,,,,,,,,,,
4/11/2019 11:50:14,SMX2A,MP10 - Empresa i iniciativa emprenedora,8,8,6,5,,,,,,,,,,,,,,,,,
4/11/2019 11:50:15,SMX1A,MP03 - Aplicacions ofimàtiques,9,4,6,8,"És excessiu la norma de que si no treus un 5 o més d'un 5 al examen, no et fa mitjana, això en la meva opinió ho trobo una mica exagerat e injust. ",,,,,,,,,,,,,,,,
4/11/2019 11:50:15,SMX2A,MP06 - Seguretat informàtica,8,6,9,9,,,,,,,,,,,,,,,,,
4/11/2019 11:50:19,SMX2A,MP06 - Seguretat informàtica,9,8,8,9,,,,,,,,,,,,,,,,,
4/11/2019 11:50:19,SMX2A,MP06 - Seguretat informàtica,7,7,7,6,,,,,,,,,,,,,,,,,
4/11/2019 11:50:22,SMX1A,MP03 - Aplicacions ofimàtiques,6,3,5,6,,,,,,,,,,,,,,,,,
4/11/2019 11:50:22,SMX1A,MP03 - Aplicacions ofimàtiques,7,1,8,7,,,,,,,,,,,,,,,,,
4/11/2019 11:50:23,SMX1A,MP02 - Sistemes operatius monolloc,10,10,10,10,,,,,,,,,,,,,,,,,
4/11/2019 11:50:25,SMX2A,MP07 - Serveis de xarxa,10,9,10,10,хорошо Виктор,,,,,,,,,,,,,,,,
4/11/2019 11:50:31,SMX1A,MP01 - Muntatge i manteniment d'equips,7,8,8,8,,,,,,,,,,,,,,,,,
4/11/2019 11:50:32,SMX1A,MP01 - Muntatge i manteniment d'equips,5,6,5,4,,,,,,,,,,,,,,,,,
4/11/2019 11:50:54,SMX1A,MP02 - Sistemes operatius monolloc,5,9,7,5,,,,,,,,,,,,,,,,,
4/11/2019 11:50:33,SMX2A,MP06 - Seguretat informàtica,8,7,9,10,,,,,,,,,,,,,,,,,
4/11/2019 11:50:38,SMX2A,MP06 - Seguretat informàtica,9,8,10,10,tot. OK ,,,,,,,,,,,,,,,,
4/11/2019 11:50:38,SMX1A,MP03 - Aplicacions ofimàtiques,4,1,1,6,,,,,,,,,,,,,,,,,
4/11/2019 11:50:44,SMX1A,MP01 - Muntatge i manteniment d'equips,8,10,8,7,,,,,,,,,,,,,,,,,
4/11/2019 11:50:45,SMX2A,MP04 - Sistemes operatius en xarxa,9,8,10,9,"A mi, personalment m'agrada l'assignatura encara que de vegades em costa una mica, penso que la forma d'ensenyar del David és bona, està totalment atent de tota la classe, fent que més o menys anem tots al mateix ritme",,,,,,,,,,,,,,,,
4/11/2019 11:50:45,SMX1A,MP02 - Sistemes operatius monolloc,4,3,5,6,La forma en la que explica,,,,,,,,,,,,,,,,
4/11/2019 11:50:46,SMX1A,MP05 - Xarxes locals,7,7,8,6,,,,,,,,,,,,,,,,,
4/11/2019 11:50:50,SMX1A,MP09 -  Formació i orientació laboral,8,9,5,8,,,,,,,,,,,,,,,,,
4/11/2019 11:50:50,SMX2A,MP06 - Seguretat informàtica,9,9,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:50:51,SMX1A,MP05 - Xarxes locals,10,9,10,10,,,,,,,,,,,,,,,,,
4/11/2019 11:50:52,SMX2A,MP04 - Sistemes operatius en xarxa,4,3,3,4,Cambiar de profe.,,,,,,,,,,,,,,,,
4/11/2019 11:50:52,SMX1A,MP05 - Xarxes locals,7,5,7,7,,,,,,,,,,,,,,,,,
4/11/2019 11:50:52,SMX2A,MP04 - Sistemes operatius en xarxa,7,6,9,6,Creo que no es muy bueno que simplemente sigamos los pasos de las actividades porque al final de la actividad simplemente no aprendemos demaciado ,,,,,,,,,,,,,,,,
4/11/2019 11:50:54,SMX2A,MP06 - Seguretat informàtica,7,4,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:50:55,SMX2A,MP08 - Aplicacions web,10,9,9,10,tot ok rusben,,,,,,,,,,,,,,,,
4/11/2019 11:50:58,SMX1A,MP02 - Sistemes operatius monolloc,2,3,5,4,La forma d'explicar i impartir classe es millorable,,,,,,,,,,,,,,,,
4/11/2019 11:52:25,SMX1A,MP03 - Aplicacions ofimàtiques,7,5,7,7,,,,,,,,,,,,,,,,,
4/11/2019 11:51:02,SMX1A,MP02 - Sistemes operatius monolloc,1,2,2,1,,,,,,,,,,,,,,,,,
4/11/2019 11:51:03,SMX2A,MP08 - Aplicacions web,10,10,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:04,SMX1A,MP01 - Muntatge i manteniment d'equips,1,1,1,1,,,,,,,,,,,,,,,,,
4/11/2019 11:51:06,SMX1A,MP01 - Muntatge i manteniment d'equips,9,8,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:07,SMX1A,MP02 - Sistemes operatius monolloc,2,1,8,1,"Esta molt desorganitzat, no prepara les clases, no explica gens be",,,,,,,,,,,,,,,,
4/11/2019 11:51:10,SMX1A,MP03 - Aplicacions ofimàtiques,8,2,4,7,,,,,,,,,,,,,,,,,
4/11/2019 11:51:10,SMX2A,MP07 - Serveis de xarxa,8,8,10,8,очень хорошо,,,,,,,,,,,,,,,,
4/11/2019 11:51:11,SMX1A,MP09 -  Formació i orientació laboral,8,7,7,6,,,,,,,,,,,,,,,,,
4/11/2019 11:51:14,SMX1A,MP02 - Sistemes operatius monolloc,1,1,1,1,Cambiar el professor.,,,,,,,,,,,,,,,,
4/11/2019 11:51:25,SMX1A,MP02 - Sistemes operatius monolloc,1,1,1,1,,,,,,,,,,,,,,,,,
4/11/2019 11:51:26,SMX1A,MP03 - Aplicacions ofimàtiques,7,8,7,7,,,,,,,,,,,,,,,,,
4/11/2019 11:51:27,SMX1A,MP05 - Xarxes locals,6,6,8,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:29,SMX1A,MP02 - Sistemes operatius monolloc,1,1,1,1,"No  explica gens bé, no entenem mai el que diu el professor, a mes a mes ens fotra a nosaltres la culpa de que les seves classes siguin insoportables",,,,,,,,,,,,,,,,
4/11/2019 11:51:31,SMX1A,MP09 -  Formació i orientació laboral,10,10,10,10,,,,,,,,,,,,,,,,,
4/11/2019 11:51:31,SMX1A,MP02 - Sistemes operatius monolloc,5,8,7,5,,,,,,,,,,,,,,,,,
4/11/2019 11:51:31,SMX1A,MP01 - Muntatge i manteniment d'equips,5,7,8,5,,,,,,,,,,,,,,,,,
4/11/2019 11:51:34,SMX1A,MP03 - Aplicacions ofimàtiques,7,5,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:36,SMX1A,Tutoria 1r curs,,,,,,6,7,5,,,,,,,,,,,,,
4/11/2019 11:51:36,SMX2A,MP08 - Aplicacions web,8,8,9,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:36,SMX1A,MP03 - Aplicacions ofimàtiques,7,8,8,8,,,,,,,,,,,,,,,,,
4/11/2019 11:51:37,SMX1A,MP11 - Anglès tècnic,8,8,8,8,,,,,,,,,,,,,,,,,
